"VideoAnalysis: Time (s)","VideoAnalysis: X (m)","VideoAnalysis: Y (m)","VideoAnalysis: X Velocity (m/s)","VideoAnalysis: Y Velocity (m/s)"
0.684,0.460747098749,0.180348993076,0.269099427621,-0.0020989864434
1.239,0.728374716139,0.178802012628,0.0558111946382,-0.00123445407009
1.781,0.463841059643,0.178802012628,0.0161913320717,-0.000704813482692
2.328,0.727601225916,0.178028522405,0.000357581282907,-3.32216537281E-05
2.874,0.464614549867,0.179575502852,-0.000183291812497,-0.000641982458658
3.463,0.726827735692,0.176481541957,0.000315047020917,-0.000156557619204
3.967,0.465388040091,0.179575502852,-0.0158495125973,0.000128470400172
4.526,0.726827735692,0.177255032181,-0.0543397665471,-0.000500245412881
5.065,0.465388040091,0.178028522405,-0.269722211218,0.000408830179827
