"VideoAnalysis: Time (s)","VideoAnalysis: X (m)","VideoAnalysis: Y (m)","VideoAnalysis: X Velocity (m/s)","VideoAnalysis: Y Velocity (m/s)"
0.934,0.315994889726,0.223682513109,0.071081524375,-0.00274316589846
5.8,0.93135769882,0.204209006492,0.0156549983114,-0.00143631670097
10.367,0.330794754755,0.211219468874,0.00424529060712,-0.000886482956026
14.7,0.921231475379,0.198756424639,0.000280466383594,-0.000752685315486
19.034,0.339363097666,0.204987946757,-0.000519892489823,-0.000771131339717
23.5,0.909547371409,0.191745962257,0.000300954106248,-0.000780316083231
27.967,0.347931440577,0.197977484375,-0.000220606589523,-0.00076869241241
32.4,0.902536909027,0.184735499875,0.000435250900486,-0.000716510647949
36.567,0.358057664018,0.191745962257,-0.000396598469434,-0.000640356660753
41.067,0.892410685586,0.179282918022,0.000279743655115,-0.000578288226955
45.5,0.36662600693,0.186293380405,-0.000405954257249,-0.000469847628111
49.8,0.88306340241,0.175388216699,0.000266680090377,-0.000403285909378
54.2,0.375194349841,0.183177619346,-0.00046081029196,-0.000423531674512
58.4,0.872158238704,0.171493515376,0.000393497280976,-0.000404343352011
62.734,0.383762692753,0.180061858287,-9.15352076334E-05,-0.000469715745982
66.5,0.868263537381,0.167598814052,0.00049055818573,-0.000572479078508
67.034,0.390773155135,0.177725037493,-0.013097034512,-0.00101325907206
67.567,0.855800493146,0.166040933523,-0.0923578174337,-0.000154421705078
68.134,0.397783617517,0.174609276434,-0.449759137432,0.00732674937128
