"VideoAnalysis: Time (s)","VideoAnalysis: X (m)","VideoAnalysis: Y (m)","VideoAnalysis: X Velocity (m/s)","VideoAnalysis: Y Velocity (m/s)"
0,0.73796283759,0.187559097893,-0.216792964553,-0.0063889954409
0.867,0.390748679497,0.180645541648,-0.0318387086426,-0.00403893226669
1.4,0.724135725099,0.179109195815,-0.00391838846169,-0.00111157908354
4.267,0.398430408658,0.177572849983,-0.000256649622417,-0.000616945388572
8.5,0.718758514686,0.175268331235,0.000231556980725,-0.000456913761843
12.967,0.403807619071,0.173731985402,-0.000203900630078,-0.000395997215923
17.234,0.713381304273,0.171427466654,0.000208686519584,-0.000267200849731
21.5,0.409184829484,0.171427466654,-0.000207562203012,-0.000137382013819
26,0.708772266777,0.170659293738,2.97244422092E-05,-9.80367444471E-05
30.234,0.411489348233,0.170659293738,-0.000237032465716,-0.000103369320616
34.667,0.70416322928,0.169891120822,0.00012140408157,-0.000143520450997
38.9,0.415330212813,0.169891120822,-0.000185761466706,-0.000277669048999
43.167,0.699554191783,0.166818429157,0.000248117077853,-0.000279793017516
47.5,0.421475596142,0.167586602073,-0.000275470116493,-0.000304293169839
49.834,0.693408808454,0.165282083325,0.00430729665983,-0.000575278823384
50.367,0.426852806555,0.165282083325,0.0240631946958,-0.000696882241191
50.934,0.689567943873,0.164513910409,0.243518963672,-0.00105931166427
