Voltage (V),dVoltage (V),Current (μA),dCurrent (μA)
-11.5,,-1,
-9.5,,-0.9,
-8.45,,-0.8,
-7.27,,-0.7,
-6.1,,-0.5,
-5.17,,-0.4,
-4.13,,-0.3,
-3.382,,-0.2,
-2.243,,-0.1,
-1.253,,0.01,
1.254,,0.1,
2.279,,0.3, 
2.404,,5.4,
2.462,,29.5,
2.491,,70.7,
2.525,,162.6,
2.559,,330,
2.612,,800,
2.644,,1150,
2.709,,1990,
2.791,,3260,
2.863,,4380,
2.908,,5130,
3.052,,7590,
3.286,,11820,
