"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.729402770E-1,8.468199730E0,5.742774606E-1,5.053641319E0,9.878233235E0
1.753186630E-1,8.453842163E0,5.503492355E-1,5.072783947E0,9.874384465E0
1.776971000E-1,8.468199730E0,5.383850932E-1,5.075176716E0,9.887248549E0
1.800755380E-1,8.461020470E0,5.359922647E-1,5.063212872E0,9.874830615E0
1.824539750E-1,8.441878319E0,5.264210105E-1,5.065605640E0,9.859147485E0
1.848324130E-1,8.432307243E0,5.216353536E-1,5.053641319E0,9.844551766E0
1.872107980E-1,8.415556908E0,5.264210105E-1,5.067998409E0,9.837851647E0
1.895892350E-1,8.422736168E0,4.881358147E-1,5.094319344E0,9.855599967E0
1.919676730E-1,8.403593063E0,4.809573591E-1,5.125426292E0,9.855033792E0
1.943461100E-1,8.394021988E0,4.570291340E-1,5.125426292E0,9.845733870E0
1.967245480E-1,8.374878883E0,4.450650215E-1,5.127819061E0,9.830117370E0
1.991029330E-1,8.370093346E0,4.594219327E-1,5.099104881E0,9.811748148E0
2.014813710E-1,8.331808090E0,4.618147612E-1,5.106283665E0,9.782966411E0
2.038598080E-1,8.348558426E0,4.618147612E-1,5.101497650E0,9.794742413E0
2.062382460E-1,8.338987350E0,4.666004181E-1,5.118247509E0,9.795554275E0
2.086166310E-1,8.336593628E0,4.618147612E-1,5.144568920E0,9.807071712E0
2.109950690E-1,8.341380119E0,4.426721931E-1,5.166104317E0,9.821568855E0
2.133735060E-1,8.341380119E0,4.666004181E-1,5.166104317E0,9.822676420E0
2.157519440E-1,8.331808090E0,4.713860750E-1,5.158925533E0,9.811001149E0
2.181303810E-1,8.327022552E0,4.761717021E-1,5.170889854E0,9.813467581E0
2.205087670E-1,8.334200859E0,4.642075896E-1,5.170889854E0,9.818986431E0
2.228872040E-1,8.336593628E0,4.737788737E-1,5.178068161E0,9.825255702E0
2.252656420E-1,8.336593628E0,4.689932466E-1,5.170889854E0,9.821244823E0
2.276440790E-1,8.329415321E0,4.666004181E-1,5.180460930E0,9.820084062E0
2.300224650E-1,8.338987350E0,4.618147612E-1,5.197210789E0,9.836817722E0
2.324009020E-1,8.334200859E0,4.761717021E-1,5.204389095E0,9.837240940E0
2.347793400E-1,8.343772888E0,4.761717021E-1,5.199603558E0,9.842822901E0
2.371577770E-1,8.358129501E0,4.977070987E-1,5.182853699E0,9.847233803E0
2.395362150E-1,8.370093346E0,4.977070987E-1,5.170889854E0,9.851105362E0
2.419146000E-1,8.355736732E0,4.977070987E-1,5.175675392E0,9.841425936E0
2.442930380E-1,8.360522270E0,5.000999570E-1,5.180460930E0,9.848127134E0
2.466714750E-1,8.343772888E0,5.096712112E-1,5.178068161E0,9.833142968E0
2.490499130E-1,8.338987350E0,5.168496966E-1,5.168497086E0,9.824418851E0
2.514282980E-1,8.329415321E0,5.096712112E-1,5.173282623E0,9.818440683E0
2.538067350E-1,8.348558426E0,5.072783828E-1,5.163711071E0,9.829530567E0
2.561851730E-1,8.362915039E0,4.977070987E-1,5.146961689E0,9.832460269E0
2.585636100E-1,8.374878883E0,5.024927258E-1,5.168497086E0,9.854159395E0
2.609420480E-1,8.391629219E0,5.024927258E-1,5.185246468E0,9.877181826E0
2.633204330E-1,8.377271652E0,5.120640397E-1,5.182853699E0,9.864221327E0
2.656988710E-1,8.355736732E0,5.024927258E-1,5.161318302E0,9.834126392E0
2.680773080E-1,8.346165657E0,4.761717021E-1,5.137390137E0,9.812135246E0
2.704557460E-1,8.394021988E0,4.737788737E-1,5.144568920E0,9.856503484E0
2.728341310E-1,8.420342445E0,4.833501875E-1,5.173282623E0,9.894374533E0
2.752125690E-1,8.401200294E0,4.809573591E-1,5.216353416E0,9.900597423E0
2.775910060E-1,8.384450912E0,4.977070987E-1,5.213960648E0,9.885955447E0
2.799694440E-1,8.372486115E0,4.929214716E-1,5.182853699E0,9.859181902E0
2.823478810E-1,8.386843681E0,4.642075896E-1,5.156532764E0,9.856189211E0
2.847262670E-1,8.382058144E0,4.259224236E-1,5.139782906E0,9.841629791E0
2.871047040E-1,8.379665375E0,4.283152521E-1,5.142175674E0,9.840945911E0
2.894831420E-1,8.362915039E0,4.115654826E-1,5.127819061E0,9.818465380E0
2.918615790E-1,8.346165657E0,4.283152521E-1,5.094319344E0,9.787442194E0
2.942399650E-1,8.391629219E0,4.474578202E-1,5.106283665E0,9.833300174E0
2.966184020E-1,8.425128937E0,4.618147612E-1,5.170889854E0,9.896169580E0
2.989968400E-1,8.401200294E0,4.546363056E-1,5.206781864E0,9.894313414E0
3.013752770E-1,8.386843681E0,4.331009090E-1,5.204389095E0,9.879898238E0
3.037537150E-1,8.382058144E0,4.091726840E-1,5.156532764E0,9.849677719E0
3.061321000E-1,8.374878883E0,4.139583111E-1,5.115854740E0,9.822521444E0
3.085105380E-1,8.370093346E0,4.354937077E-1,5.094319344E0,9.808170419E0
3.108889750E-1,8.370093346E0,4.283152521E-1,5.094319344E0,9.807854309E0
3.132674130E-1,8.338987350E0,4.450650215E-1,5.103890896E0,9.787057534E0
3.156457980E-1,8.348558426E0,4.450650215E-1,5.089533806E0,9.787740547E0
3.180242350E-1,8.367700577E0,4.689932466E-1,5.096712112E0,9.808916452E0
3.204026730E-1,8.396414757E0,4.713860750E-1,5.137390137E0,9.854682289E0
3.227811100E-1,8.377271652E0,4.522434771E-1,5.163711071E0,9.851249490E0
3.251595480E-1,8.341380119E0,4.570291340E-1,5.163711071E0,9.820967872E0
3.275379330E-1,8.329415321E0,4.785645306E-1,5.118247509E0,9.787984530E0
3.299163710E-1,8.362915039E0,4.785645306E-1,5.079962254E0,9.796600862E0
3.322948080E-1,8.343772888E0,4.809573591E-1,5.077569485E0,9.779139935E0
3.346732460E-1,8.319844246E0,4.761717021E-1,5.077569485E0,9.758496792E0
3.370516310E-1,8.346165657E0,4.857429862E-1,5.099104881E0,9.792614463E0
3.394300690E-1,8.391629219E0,4.761717021E-1,5.142175674E0,9.853331980E0
3.418085060E-1,8.360522270E0,4.689932466E-1,5.170889854E0,9.841564367E0
3.441869440E-1,8.338987350E0,4.666004181E-1,5.127819061E0,9.800558877E0
