"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.680591840E-1,-8.434699476E-2,2.769692242E-1,9.766305923E0,9.770596592E0
1.702190450E-1,-7.477571070E-2,2.530409992E-1,9.737591743E0,9.741165953E0
1.723750920E-1,-8.913264424E-2,2.673979402E-1,9.728020668E0,9.732103185E0
1.745344550E-1,-7.477571070E-2,2.626122832E-1,9.756733894E0,9.760553924E0
1.766885290E-1,-7.477571070E-2,2.673979402E-1,9.751948357E0,9.755900257E0
1.788384420E-1,-9.870393574E-2,2.673979402E-1,9.723235130E0,9.727412067E0
1.810052610E-1,-7.956135273E-2,2.626122832E-1,9.747162819E0,9.751024471E0
1.831625900E-1,-7.956135273E-2,2.626122832E-1,9.751948357E0,9.755808115E0
1.853198270E-1,-7.956135273E-2,2.626122832E-1,9.718449593E0,9.722322650E0
1.874784870E-1,-8.973085135E-2,2.626122832E-1,9.713663101E0,9.717626649E0
1.896349320E-1,-8.913264424E-2,2.769692242E-1,9.723235130E0,9.727587470E0
1.917943760E-1,-7.477571070E-2,2.578266263E-1,9.732806206E0,9.736507722E0
1.939509310E-1,-8.434699476E-2,2.578266263E-1,9.732806206E0,9.736585933E0
1.961082500E-1,-8.973085135E-2,2.530409992E-1,9.718449593E0,9.722157366E0
1.982646730E-1,-8.434699476E-2,2.673979402E-1,9.742377281E0,9.746411194E0
2.004203020E-1,-7.477571070E-2,2.721835673E-1,9.713663101E0,9.717763433E0
2.025691670E-1,-8.015955985E-2,2.626122832E-1,9.708877563E0,9.712759356E0
2.047355290E-1,-8.015955985E-2,2.673979402E-1,9.708877563E0,9.712889928E0
2.068841400E-1,-8.494520187E-2,2.673979402E-1,9.708877563E0,9.712930602E0
2.090557100E-1,-6.580262631E-2,2.578266263E-1,9.708877563E0,9.712523261E0
2.112104240E-1,-7.956135273E-2,2.626122832E-1,9.728020668E0,9.731889916E0
2.133704900E-1,-8.913264424E-2,2.626122832E-1,9.723235130E0,9.727189277E0
2.155244610E-1,-7.477571070E-2,2.530409992E-1,9.718449593E0,9.722030839E0
2.176854510E-1,-8.973085135E-2,2.673979402E-1,9.699904442E0,9.704004301E0
2.198550180E-1,-8.015955985E-2,2.673979402E-1,9.685547829E0,9.689569854E0
2.220105360E-1,-7.477571070E-2,2.673979402E-1,9.713663101E0,9.717630571E0
2.241543040E-1,-8.434699476E-2,2.626122832E-1,9.718449593E0,9.722362990E0
2.263100560E-1,-7.058826834E-2,2.482553422E-1,9.699306488E0,9.702739807E0
2.284670590E-1,-8.494520187E-2,2.530409992E-1,9.695118904E0,9.698792502E0
2.306262690E-1,-8.015955985E-2,2.673979402E-1,9.713663101E0,9.717673490E0
2.327792440E-1,-7.477571070E-2,2.578266263E-1,9.718449593E0,9.722156575E0
2.349591660E-1,-7.537391037E-2,2.673979402E-1,9.684949875E0,9.688933737E0
2.371152030E-1,-7.537391037E-2,2.721835673E-1,9.694520950E0,9.698634006E0
2.392752980E-1,-7.956135273E-2,2.626122832E-1,9.718449593E0,9.722322650E0
2.414261880E-1,-8.494520187E-2,2.673979402E-1,9.694520950E0,9.698579989E0
2.435859370E-1,-8.015955985E-2,2.673979402E-1,9.694520950E0,9.698539254E0
2.457472940E-1,-8.494520187E-2,2.817548811E-1,9.699306488E0,9.703769775E0
2.478869630E-1,-6.520441920E-2,2.578266263E-1,9.713663101E0,9.717302971E0
2.500569560E-1,-6.999006122E-2,2.721835673E-1,9.718449593E0,9.722512278E0
2.522129630E-1,-8.434699476E-2,2.721835673E-1,9.713663101E0,9.717841795E0
2.543761400E-1,-8.973085135E-2,2.626122832E-1,9.690333366E0,9.694306452E0
2.565363680E-1,-8.015955985E-2,2.578266263E-1,9.708877563E0,9.712631140E0
2.586858730E-1,-7.956135273E-2,2.769692242E-1,9.713663101E0,9.717936654E0
2.608453690E-1,-7.477571070E-2,2.626122832E-1,9.713663101E0,9.717500062E0
2.629979060E-1,-8.494520187E-2,2.578266263E-1,9.708877563E0,9.712671816E0
2.651462420E-1,-7.058826834E-2,2.530409992E-1,9.708877563E0,9.712431003E0
2.673086070E-1,-8.434699476E-2,2.626122832E-1,9.728020668E0,9.731930217E0
2.694958220E-1,-6.520441920E-2,2.578266263E-1,9.728020668E0,9.731655168E0
2.716339040E-1,-8.434699476E-2,2.721835673E-1,9.732806206E0,9.736976684E0
2.737923820E-1,-8.913264424E-2,2.578266263E-1,9.718449593E0,9.722277597E0
2.759403420E-1,-9.870393574E-2,2.530409992E-1,9.732806206E0,9.736595342E0
2.781040180E-1,-9.391828626E-2,2.578266263E-1,9.742377281E0,9.746240829E0
2.802581630E-1,-7.956135273E-2,2.626122832E-1,9.728020668E0,9.731889916E0
