"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.600377990E-1,4.456632137E-1,9.792028427E0,2.121835470E0,1.002918851E1
1.622386770E-1,4.307080805E-1,9.825528145E0,2.078764677E0,1.005225225E1
1.644388600E-1,4.211367965E-1,9.835099220E0,2.017149448E0,1.004865288E1
1.666343750E-1,3.822534084E-1,9.849455833E0,1.954936147E0,1.004886428E1
1.688381490E-1,3.439682424E-1,9.868598938E0,1.936391711E0,1.006266227E1
1.710384880E-1,2.769692242E-1,9.868598938E0,1.884347796E0,1.005070762E1
1.732390960E-1,2.285145670E-1,9.906884193E0,1.808375716E0,1.007317210E1
1.754218450E-1,1.806581169E-1,9.921240807E0,1.736590981E0,1.007369866E1
1.775764170E-1,1.274178028E-1,9.939785004E0,1.655833244E0,1.007756642E1
1.797394520E-1,7.896314561E-2,9.930213928E0,1.608574986E0,1.005996508E1
1.819063220E-1,6.939185411E-2,9.934999466E0,1.570888042E0,1.005866387E1
1.840630090E-1,4.067798331E-2,9.906285286E0,1.532602906E0,1.002422139E1
1.862201240E-1,2.093719877E-2,9.868000984E0,1.518844128E0,9.984226023E0
1.883772090E-1,-7.776673418E-3,9.835099220E0,1.504487276E0,9.949508486E0
1.905350860E-1,-2.691925503E-2,9.796813965E0,1.490728498E0,9.909619567E0
1.926617840E-1,-4.606183618E-2,9.772886276E0,1.476371527E0,9.883880855E0
1.948492550E-1,-6.999006122E-2,9.744172096E0,1.453041553E0,9.852163123E0
1.970023920E-1,-8.015955985E-2,9.734601021E0,1.433898926E0,9.839966906E0
1.991703820E-1,-8.973085135E-2,9.710672379E0,1.400399446E0,9.811540566E0
2.013176290E-1,-1.136590764E-1,9.686744690E0,1.400997639E0,9.788193677E0
2.034714970E-1,-1.184447184E-1,9.658030510E0,1.362712502E0,9.754412737E0
2.056343290E-1,-1.381855011E-1,9.624530792E0,1.329213023E0,9.716866546E0
2.077920240E-1,-1.190429255E-1,9.610174179E0,1.329213023E0,9.702392810E0
2.099511630E-1,-1.190429255E-1,9.586245537E0,1.301097274E0,9.674870998E0
2.121075040E-1,-1.238285750E-1,9.567103386E0,1.305882931E0,9.656610738E0
2.142625750E-1,-1.333998591E-1,9.571888924E0,1.301097274E0,9.660833670E0
2.164229240E-1,-1.238285750E-1,9.581459999E0,1.296311617E0,9.669546682E0
2.185789510E-1,-1.046859920E-1,9.595816612E0,1.310070395E0,9.685398291E0
2.207372860E-1,-8.973085135E-2,9.595816612E0,1.343569875E0,9.689836329E0
2.228864250E-1,-6.580262631E-2,9.605388641E0,1.367498159E0,9.702467323E0
2.250213430E-1,-5.623133108E-2,9.610174179E0,1.400399446E0,9.711834447E0
2.272095970E-1,-4.666004330E-2,9.638887405E0,1.395613790E0,9.739510533E0
2.293678720E-1,-6.101697683E-2,9.658030510E0,1.409970760E0,9.760599057E0
2.315321070E-1,-6.101697683E-2,9.691530228E0,1.433898926E0,9.797221410E0
2.336822630E-1,-6.999006122E-2,9.720243454E0,1.443470240E0,9.827086941E0
2.358372220E-1,-6.999006122E-2,9.744172096E0,1.466800332E0,9.854201726E0
2.379966150E-1,-7.956135273E-2,9.744172096E0,1.509871125E0,9.860777386E0
2.401539130E-1,-8.913264424E-2,9.720243454E0,1.552941918E0,9.843917210E0
2.423119830E-1,-9.810572863E-2,9.720243454E0,1.581655741E0,9.848573116E0
2.444640620E-1,-9.810572863E-2,9.701101303E0,1.615155339E0,9.835126740E0
2.466036410E-1,-1.076770201E-1,9.672387123E0,1.639083505E0,9.810874667E0
2.487715590E-1,-8.853443712E-2,9.653244972E0,1.648654819E0,9.793418175E0
2.509426710E-1,-9.332008660E-2,9.638887405E0,1.634297848E0,9.776900762E0
2.531038340E-1,-9.332008660E-2,9.619745255E0,1.634297848E0,9.758029353E0
2.552602360E-1,-1.172483116E-1,9.634101868E0,1.643869162E0,9.774045825E0
2.574167100E-1,-1.411765367E-1,9.662816048E0,1.667797327E0,9.806706517E0
2.595716270E-1,-1.651047617E-1,9.677172661E0,1.648654819E0,9.817993329E0
2.617293320E-1,-1.555334777E-1,9.696315765E0,1.643869162E0,9.835905444E0
2.638877080E-1,-1.698904037E-1,9.715457916E0,1.624726534E0,9.851838487E0
2.660411200E-1,-1.651047617E-1,9.705886841E0,1.615155339E0,9.840743149E0
2.681892930E-1,-1.698904037E-1,9.701101303E0,1.639083505E0,9.840062194E0
2.703581060E-1,-1.555334777E-1,9.696315765E0,1.624726534E0,9.832724261E0
2.725162070E-1,-1.268195957E-1,9.672387123E0,1.639083505E0,9.811103435E0
2.746701380E-1,-1.124626622E-1,9.672387123E0,1.653440475E0,9.813337145E0
2.768056670E-1,-9.332008660E-2,9.672387123E0,1.658226132E0,9.813943917E0
2.789836670E-1,-8.853443712E-2,9.686744690E0,1.643869162E0,9.825638242E0
2.811268150E-1,-8.853443712E-2,9.725028992E0,1.652842283E0,9.864882911E0
2.833104880E-1,-8.853443712E-2,9.772886276E0,1.667199135E0,9.914469097E0
2.854618760E-1,-1.070788130E-1,9.820742607E0,1.681556106E0,9.964240170E0
2.876231520E-1,-1.262213886E-1,9.859027863E0,1.686341763E0,1.000300509E1
2.897748040E-1,-1.262213886E-1,9.887741089E0,1.676770449E0,1.002970163E1
2.919295790E-1,-1.214357466E-1,9.934999466E0,1.667199135E0,1.007464709E1
2.940905890E-1,-1.166501045E-1,9.939785004E0,1.671984792E0,1.008010250E1
2.962484470E-1,-1.070788130E-1,9.944570541E0,1.714457393E0,1.009184390E1
2.984075160E-1,-9.750752151E-2,9.930213928E0,1.709671736E0,1.007678688E1
3.005604190E-1,-8.793623000E-2,9.925428391E0,1.695314884E0,1.006955580E1
