"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.1778112,0,0.000338765432099
0.1,0.1778112,0,0.00055049382716
0.15,0.1778112,0,0.000965481481481
0.2,0.1778112,0.000304888888889,-0.00694469135802
0.25,0.1778112,-0.000152444444444,-0.0218503703704
0.3,0.1778112,-0.000457333333333,-0.0497985185185
0.35,0.17836,-0.00975644444444,0.000254074074075
0.4,0.1758904,-0.00320133333333,0.092567654321
0.45,0.1778112,0.00731733333333,0.0510688888889
0.5,0.1775368,0.00304888888889,-0.0158372839506
0.55,0.1778112,0.00228666666667,-0.00736814814815
0.6,0.1778112,-0.000914666666667,0.159304444444
0.65,0.1780856,0.000152444444444,0.779838024691
0.7,0.1767136,0.0407026666667,2.06943333333
0.75,0.1761648,0.200312,3.38816246914
0.8,0.1926288,0.438125333333,3.55102395062
0.85,0.2239104,0.608710666667,2.62788814815
0.9,0.2576616,0.695299111111,1.68086938272
0.95,0.2941568,0.752618222222,1.16933358025
1,0.3331216,0.799418666667,0.976745432099
1.05,0.3740072,0.846828888889,0.909077037037
1.1,0.4179112,0.891495111111,0.844796296296
1.15,0.4634616,0.930368444444,0.807532098765
1.2,0.5109328,0.969699111111,0.818541975309
1.25,0.5603248,1.01055422222,0.862920246914
1.3,0.6116376,1.05796444444,0.878588148148
1.35,0.6665176,1.09912444444,0.87723308642
1.4,0.7213976,1.14409555556,0.870881234568
1.45,0.780668,1.19150577778,0.709713580247
1.5,0.8404872,1.230684,0.257715802469
1.55,0.9057944,1.22854977778,-0.330042222222
1.6,0.9667112,1.16787688889,-0.326569876543
1.65,1.0196704,1.15827288889,0.417528395062
1.7,1.079764,1.21498222222,1.01875234568
1.75,1.140132,1.28327733333,1.06965185185
1.8,1.2048904,1.39410444444,-0.114502716049
1.85,1.2940704,1.25858133333,-1.03662222222
1.9,1.3272728,1.18022488889,-0.104085679012
1.95,1.4010864,1.278704,0.350876296296
2,1.4609056,1.28769822222,-0.282360987654
2.05,1.5333472,1.23403777778,-0.42701382716
2.1,1.586032,1.13205244444,2.29259506173
2.15,1.6453024,1.29684488889,7.11068641975
2.2,1.6897552,1.75798933333,11.7809066667
2.25,1.7446352,3.42923777778,0.598005679012
2.3,2.2278536,1.86790177778,-11.938771358
2.35,1.878268,1.04058577778,-4.95723925926
2.4,2.2168776,1.988028,-6.8384037037
2.45,2.2234632,0.614808444444,-11.8264706173
2.5,2.2251096,0.197110666667,-7.25017308642
2.55,2.2245608,-0.0355195555556,-3.39553061728
2.6,2.2215424,-0.0731733333333,-0.220875061728
2.65,2.2091944,0.0268302222222,0.768574074074
2.7,2.2278536,0.0725635555556,0.314374320988
2.75,2.2218168,0.0297266666667,0.112385432099
2.8,2.2248352,0.0731733333333,0.0352316049383
2.85,2.2316952,0.0652462222222,-0.486721234568
2.9,2.2347136,0.00838444444445,-0.697738222222
2.95,2.2314208,-0.0368915555556,-0.345058
3,2.2275792,-0.02058,8.4691357864E-06
3.05,2.2311464,-0.0257021333333,0.163598296296
3.1,2.2242864,-0.014406,0.470240296296
3.15,2.2284024,0.032928,0.728227111111
