"Time (s)","Position (m)","Velocity (m/s)","Acceleration (m/s²)"
0.05,0.2283008,0.00396355555556,-0.0317253827161
0.1,0.2285752,0.00221044444444,-0.0254412839506
0.15,0.2285752,0.0008232,-0.0155239259259
0.2,0.2285752,0.000609777777778,-0.00627562962963
0.25,0.2285752,0.00121955555556,-0.0132711358025
0.3,0.2288496,-0.000457333333333,-0.0237474567901
0.35,0.2285752,-0.00289644444444,-0.00499679012346
0.4,0.2283008,-0.000914666666667,0.0151597530864
0.45,0.2285752,-0.000304888888889,0.0229513580247
0.5,0.2283008,0.000304888888889,0.0611471604938
0.55,0.2285752,0.00289644444444,0.166164444444
0.6,0.2283008,0.0125004444444,0.369931851852
0.65,0.229124,0.0381111111111,0.626631358025
0.7,0.231868,0.0731733333333,0.921103209877
0.75,0.2354352,0.130035111111,1.19939901235
0.8,0.244216,0.200769333333,1.31669654321
0.85,0.2557408,0.268759555556,1.28349753086
0.9,0.2713816,0.331109333333,1.19558790123
0.95,0.2892176,0.385836888889,1.14714444444
1,0.3097976,0.443003555556,1.15137901235
1.05,0.333396,0.501694666667,1.14714444444
1.1,0.3600128,0.559776,1.10801703704
1.15,0.389648,0.612521777778,1.0665182716
1.2,0.421204,0.664962666667,1.06482444444
1.25,0.4563272,0.716946222222,1.10005604938
1.3,0.4928224,0.770301777778,1.18449333333
1.35,0.5317872,0.846981333333,1.05796444444
1.4,0.5795328,0.888446222222,0.721824444444
1.45,0.6220648,0.903843111111,0.637725925926
1.5,0.668164,0.945308,0.680156296296
1.55,0.7170072,0.979455555556,0.613842962963
1.6,0.7663992,1.00902977778,0.506030864198
1.65,0.8182608,1.029,0.444544938272
1.7,0.869848,1.04439688889,0.560741481481
1.75,0.921984,1.071532,0.910347407407
1.8,0.9743944,1.15095555556,0.931350864198
1.85,1.0394272,1.18022488889,0.613588888889
1.9,1.09074,1.23495244444,-0.0896881481481
1.95,1.170316,1.15552888889,-0.496206666667
2,1.2021464,1.14089422222,-0.0179545679012
2.05,1.2836432,1.16254133333,0.241455061728
2.1,1.3190408,1.15735822222,0.431163703704
2.15,1.3881896,1.31757733333,-1.16806320988
2.2,1.477644,1.03525022222,-2.51634962963
2.25,1.4861504,0.853231555556,-0.279396790123
2.3,1.5388352,1.06528177778,1.12156765432
2.35,1.6060632,1.08845333333,0.477320493827
2.4,1.650516,1.071532,0.196060493827
2.45,1.7078656,1.11055777778,-0.219774074074
2.5,1.7665872,1.06619644444,-0.791186666667
2.55,1.8154304,1.00445644444,-0.874777037037
2.6,1.8650968,0.969699111111,-0.738339259259
2.65,1.9133912,0.924728,-0.43946345679
2.7,1.9553744,0.922898666667,-0.105101975309
2.75,2.0053152,0.928996444444,-0.0849454320988
2.8,2.0489448,0.922746222222,-0.334784938272
2.85,2.097788,0.917715555556,-1.35675555556
2.9,2.1419664,0.839206666667,-3.6664582716
2.95,2.1823032,0.674719111111,-7.80049753086
3,2.239104,-0.00457333333333,-10.1107930864
3.05,2.1847728,-0.701701777778,-5.61647679012
3.1,2.1282464,-0.665877333333,0.994191851852
3.15,2.1084896,-0.378672,3.79874617284
3.2,2.0980624,-0.158542222222,3.70262148148
3.25,2.0933976,0.0189031111111,2.45291580247
3.3,2.103276,0.105339111111,0.785173580247
3.35,2.110136,0.0711915555556,-0.30954691358
3.4,2.1104104,0.0248484444444,-0.410499012346
3.45,2.1104104,0.0138724444444,-0.0903656790124
3.5,2.1109592,0.0237813333333,0.155578024691
3.55,2.1126056,0.0405502222222,0.198262469136
3.6,2.1158984,0.0442088888889,0.198177777778
3.65,2.1167216,0.0530506666667,0.29370962963
3.7,2.1200144,0.0803382222222,0.266439012346
3.75,2.1257768,0.0884177777778,0.125427901235
3.8,2.1298928,0.083692,0.173447901235
3.85,2.1337344,0.0833871111111,0.675498271605
3.9,2.1351064,0.148785777778,1.29366049383
3.95,2.1504728,0.205190222222,1.83009555556
4,2.1491008,0.360073777778,1.48802716049
4.05,2.1853216,0.491633333333,-1.32477609877
4.1,2.218524,0.251533333333,-4.35399965432
4.15,2.2179752,-0.124394666667,-4.01154167901
4.2,2.1927304,-0.270192533333,-1.34171437037
4.25,2.1784616,-0.196958222222,0.617112049383
4.3,2.1779128,-0.0993937777778,1.57275239506
