"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.2258312,0.000914666666667,-0.0013550617284
0.1,0.2258312,0.001372,-0.0123649382716
0.15,0.2261056,0,-0.0209357037037
0.2,0.2258312,-0.00167688888889,-0.00889259259259
0.25,0.2258312,-0.00152444444444,0.0299807407407
0.3,0.2258312,-0.00152444444444,0.125597283951
0.35,0.2252824,0.00731733333333,0.265930864198
0.4,0.2255568,0.0320133333333,0.274315308642
0.45,0.229124,0.0454284444444,0.114672098765
0.5,0.2315936,0.0343,0.141011111111
0.55,0.2315936,0.0417697777778,0.514415308642
0.6,0.2343376,0.080948,0.991566419753
0.65,0.2384536,0.147261333333,1.33211037037
0.7,0.2480576,0.232630222222,1.32008419753
0.75,0.2636984,0.285833333333,1.16730098765
0.8,0.2768696,0.334768,1.23979679012
0.85,0.2955288,0.409313333333,1.32711358025
0.9,0.318304,0.476693777778,1.27197950617
0.95,0.3438232,0.535384888889,1.21345777778
1,0.3715376,0.595448,1.18711876543
1.05,0.4030936,0.658712444444,1.11563925926
1.1,0.4387656,0.702006666667,1.1498545679
1.15,0.4725168,0.760240444444,1.39884716049
1.2,0.5128536,0.851249777778,1.46668493827
1.25,0.5586784,0.923965777778,1.22218098765
1.3,0.606424,0.974424888889,0.941259753086
1.35,0.6569136,1.00796266667,0.825232592593
1.4,0.70658,1.05018977778,0.818796049383
1.45,0.7611856,1.101716,0.604442222222
1.5,0.8182608,1.12153377778,0.246451851852
1.55,0.8750616,1.112692,0.199617530864
1.6,0.9299416,1.10613688889,0.746554320988
1.65,0.9807056,1.18495066667,1.22616148148
1.7,1.0457384,1.29836933333,0.475711358025
1.75,1.1190032,1.26467911111,-0.795505925926
1.8,1.177176,1.14257111111,-0.74003308642
1.85,1.2257448,1.14211377778,0.252888395062
1.9,1.288308,1.20492088889,0.743420740741
1.95,1.3489504,1.23632444444,0.888666419753
2,1.4115136,1.27748444444,1.27028567901
2.05,1.4759976,1.35020044444,1.6859508642
2.1,1.5429512,1.46483866667,1.51030098765
2.15,1.6178624,1.62399066667,-0.677530864198
2.2,1.7289944,1.39044577778,-2.59816148148
2.25,1.7564344,1.15187022222,-0.825317283951
2.3,1.8189976,1.32245555556,1.17263654321
2.35,1.9035128,1.34974311111,1.48294567901
2.4,1.9493376,1.41392222222,1.58161111111
2.45,2.0135472,1.88345111111,-4.78091185185
2.5,2.2141336,1.04180533333,-12.4086390123
2.55,2.1257768,0.0373488888889,-9.34933308642
2.6,2.1592536,0.00304888888889,-3.61606691358
2.65,2.138948,-0.138267111111,-0.461652592593
2.7,2.1342832,-0.000914666666666,1.33033185185
2.75,2.1400456,0.0832346666667,1.05423802469
2.8,2.14718,0.108845333333,0.532064987654
2.85,2.1504728,0.121040888889,0.119050641975
2.9,2.1584304,0.134913333333,-0.451735234568
2.95,2.1685832,0.0717098666667,-0.880747777778
3,2.1652904,0.0133388888889,-0.754312049383
3.05,2.1655648,0.000609777777776,-0.513517580247
