"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.1871408,-0.000609777777778,0.000660592592594
0.1,0.1871408,-0.000990888888889,0.00454792592593
0.15,0.1868664,0.000731733333333,-0.00586911111111
0.2,0.1874152,-0.000609777777778,-0.0382550864198
0.25,0.1868664,-0.00320133333333,-0.0871389382716
0.3,0.1868664,-0.00579288888889,0.459382864198
0.35,0.1868664,-0.0196653333333,3.61860765432
0.4,0.1863176,-0.0500017777778,17.4627651852
0.45,0.179732,1.12397288889,35.4923696296
0.5,0.17836,3.52924133333,41.3012651852
0.55,0.186592,10.5319293333,-38.9723375309
0.6,2.2824592,0.0125004444444,-118.453398519
0.65,0.189336,-10.5365026667,-39.3629340741
0.7,0.1780856,-3.56811466667,41.0810676543
0.75,0.17836,-1.18418844444,36.2053861728
0.8,0.1767136,0.0498493333333,19.7508716049
0.85,0.1800064,0.194976444444,7.26219925926
0.9,0.1912568,0.426082222222,4.29986493827
0.95,0.2247336,0.619991555556,2.76949209877
1,0.2590336,0.705208,1.73972987654
1.05,0.2958032,0.764356444444,1.2132037037
1.1,0.3353168,0.814663111111,1.00096716049
1.15,0.3775744,0.861463555556,0.93812617284
1.2,0.4220272,0.900336888889,1.03314987654
1.25,0.4662056,0.962381777778,1.18466271605
1.3,0.5180672,1.02869511111,1.22717777778
1.35,0.5704776,1.07366622222,1.58779358025
1.4,0.6245344,1.155224,2.51990666667
1.45,0.683256,1.30416222222,3.48818296296
1.5,0.7452704,1.594264,2.47129382716
1.55,0.8489936,1.72704311111,-1.63666049383
1.6,0.9433872,1.39593377778,-4.89346666667
1.65,0.991956,0.993937777778,-3.57431407407
1.7,1.0240608,0.924880444444,0.131356296296
1.75,1.072904,1.10202088889,2.34527308642
1.8,1.1365648,1.27504533333,2.26125925926
1.85,1.2057136,1.35340177778,1.35345259259
1.9,1.273216,1.38754933333,0.717166419753
1.95,1.3442856,1.41376977778,0.377130617284
2,1.4161784,1.41331244444,0.344609135802
2.05,1.484504,1.43480711111,0.550324444444
2.1,1.5583176,1.47779644444,0.544650123457
2.15,1.6324056,1.51362088889,0.078762962963
2.2,1.712256,1.498224,-0.605373827161
2.25,1.784972,1.43008133333,-0.822099012346
2.3,1.8538464,1.38541511111,-0.385345679012
2.35,1.9216232,1.37413422222,0.558793580247
2.4,1.9904976,1.43175822222,1.38529654321
2.45,2.0615672,1.52292,1.22878691358
2.5,2.1260512,1.80844844444,-3.47200691358
2.55,2.2860264,1.31544311111,-10.2302079012
2.6,2.2819104,0.383092888889,-9.7765162963
2.65,2.2824592,0.137809777778,-5.23324839506
2.7,2.2928864,0.000914666666666,-2.46163901235
2.75,2.2827336,-0.053508,-0.831669135802
2.8,2.2852032,-0.0649413333333,0.0527627160494
2.85,2.2753248,-0.0495444444444,0.787036790123
2.9,2.276148,0.0408551111111,0.927285679012
2.95,2.2824592,0.0772893333333,0.399658518519
3,2.2860264,0.0730208888889,-0.0595380246914
3.05,2.2895936,0.0602155555556,-0.316152839506
3.1,2.292612,0.035672,-0.400336049383
3.15,2.2931608,0.0125004444444,-0.311664197531
3.2,2.2931608,0.00228666666667,-0.166926666667
3.25,2.2931608,-0.00167688888889,-0.0608083950617
3.3,2.2928864,-0.00182933333333,-0.00110098765432
3.35,2.2928864,-0.000152444444444,0.0160066666667
3.4,2.2928864,0.00121955555556,0.00220197530864
3.45,2.2931608,0,-0.0125343209876
3.5,2.2928864,-0.001372,-0.00440395061728
3.55,2.2928864,-0.000457333333333,0.00601308641975
3.6,2.2928864,-0.000152444444444,0.00745283950617
3.65,2.2928864,0.000152444444444,0.00973950617284
3.7,2.2928864,0.000609777777778,0.0132965432099
3.75,2.2928864,0.00198177777778,0.00779160493827
3.8,2.2931608,0.00198177777778,-0.00770691358024
3.85,2.2931608,0.000609777777778,-0.0127883950617
3.9,2.2931608,0.000152444444444,-0.00745283950617
3.95,2.2931608,0,-0.00287950617284
4,2.2931608,0,-0.000660592592592
4.05,2.2931608,0,-0.000127037037037
4.1,2.2931608,0,0
