"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.2746744,-0.002744,0.0379247901235
0.1,0.2744,-0.000228666666667,0.0200040987654
0.15,0.2746744,0.000731733333333,-0.00663133333333
0.2,0.2746744,-0.00167688888889,-0.0195382962963
0.25,0.2744,-0.00243911111111,-0.00998511111111
0.3,0.2744,-0.00259155555556,0.0010332345679
0.35,0.2741256,-0.00228666666667,0.0124496296296
0.4,0.2741256,-0.000914666666667,0.0154138271605
0.45,0.2741256,-0.00106711111111,0.0219350617284
0.5,0.2738512,0.00152444444444,0.0254920987654
0.55,0.2744,0.00198177777778,0.027524691358
0.6,0.2741256,0.00213422222222,0.0714795061728
0.65,0.2744,0.00701244444444,0.145838518519
0.7,0.2744,0.0189031111111,0.178698765432
0.75,0.2763208,0.030184,0.132457283951
0.8,0.2782416,0.0285071111111,0.172685679012
0.85,0.2787904,0.0359768888889,0.438277777778
0.9,0.2807112,0.067228,0.812782962963
0.95,0.2845528,0.120736,1.12232987654
1,0.292236,0.187659111111,1.25876765432
1.05,0.3034864,0.252905333333,1.25266987654
1.1,0.3177552,0.314035555556,1.20702123457
1.15,0.3350424,0.371812,1.18601777778
1.2,0.3547992,0.431417777778,1.18821975309
1.25,0.3781232,0.491938222222,1.17068864198
1.3,0.4041912,0.548952444444,1.14511185185
1.35,0.4330032,0.605814222222,1.13130716049
1.4,0.4648336,0.661456444444,1.13164592593
1.45,0.4991336,0.718013333333,1.14282518519
1.5,0.536452,0.777009333333,1.11894222222
1.55,0.5767888,0.834938222222,1.01282395062
1.6,0.6206928,0.878689777778,0.929148888889
1.65,0.6651456,0.915886222222,1.08303308642
1.7,0.7115192,0.975796888889,1.34396716049
1.75,0.7603624,1.06558666667,1.21201802469
1.8,0.8168888,1.16055955556,0.013550617284
1.85,0.887684,1.06116577778,-1.00884345679
1.9,0.9228072,0.961619555556,-0.288458765432
1.95,0.9743944,1.02259733333,0.717759259259
2,1.026256,1.07930666667,0.980641234568
2.05,1.0827824,1.13723555556,0.834040493827
2.1,1.1412296,1.16513288889,0.55523654321
2.15,1.1996768,1.184036,0.423795555556
2.2,1.2592216,1.20614044444,0.33097382716
2.25,1.3206872,1.22031777778,0.207578518519
2.3,1.3818784,1.223824,0.13677654321
2.35,1.4427952,1.23037911111,0.115603703704
2.4,1.5045352,1.24059288889,0.00550493827161
2.45,1.5676472,1.23632444444,-0.193011604938
2.5,1.6291128,1.21528711111,-0.309377530864
2.55,1.6883832,1.20232933333,-0.37899382716
2.6,1.7493,1.18830444444,-0.613165432099
2.65,1.8093936,1.13632088889,-0.756124444444
2.7,1.861804,1.10125866667,-0.681426666667
2.75,1.919428,1.068788,-0.586402962963
2.8,1.96882,1.03829911111,-0.437176790123
2.85,2.0217792,1.03357333333,-0.538128888889
2.9,2.0728176,1.00765777778,-1.15095555556
2.95,2.1241304,0.947137333333,-2.40337135802
3,2.1721504,0.773350666667,-3.77494790123
3.05,2.20206,0.569837333333,-4.86924493827
3.1,2.2388296,0.212202666667,-4.42241333333
3.15,2.214408,0.0207324444444,-2.02742641975
3.2,2.2275792,0.0725635555556,-0.646195061728
3.25,2.2286768,0.0310986666667,-0.615790864198
3.3,2.230872,-0.00304888888889,-0.544819506173
3.35,2.228128,-0.0408551111111,-0.253565925926
3.4,2.224012,-0.0309462222222,0.15650962963
3.45,2.2245608,-0.00182933333333,0.207324444444
3.5,2.228128,-0.0339951111111,0.536265679012
3.55,2.2133104,0.0544226666667,0.71101782716
3.6,2.234988,0.111741777778,-0.342601950617
3.65,2.2352624,-0.00990888888889,-0.875192024691
3.7,2.228128,-0.0385074666667,-0.339925703704
3.75,2.228128,-0.0259917777778,-0.0062756296296
3.8,2.2275792,-0.0158542222222,0.170280444444
