"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.2239104,0.00426844444444,-0.0212405925926
0.1,0.2241848,0.00304888888889,-0.0197923703704
0.15,0.2241848,0.0024696,-0.0210881481481
0.2,0.2244592,0.00152444444444,-0.0301331851852
0.25,0.2244592,-0.001372,-0.0241878518519
0.3,0.2241848,-0.00182933333333,-0.00264237037037
0.35,0.2241848,-0.000762222222222,0.00516617283951
0.4,0.2241848,-0.000609777777778,0.0010162962963
0.45,0.2241848,-0.001372,0.00728345679012
0.5,0.2239104,-0.000152444444444,0.0251533333333
0.55,0.2241848,0.000914666666667,0.0741896296296
0.6,0.2241848,0.00213422222222,0.242979506173
0.65,0.2239104,0.0157017777778,0.59597308642
0.7,0.2241848,0.0611302222222,0.97242617284
0.75,0.2296728,0.119059111111,1.22937975309
0.8,0.2357096,0.187201777778,1.38961580247
0.85,0.2477832,0.265863111111,1.3820782716
0.9,0.2631496,0.329889777778,1.28392098765
0.95,0.2809856,0.389495555556,1.26444197531
1,0.30184,0.453369777778,1.29831851852
1.05,0.3262616,0.518920888889,1.32838395062
1.1,0.3531528,0.592704,1.23242864198
1.15,0.3863552,0.649565777778,1.02290222222
1.2,0.4192832,0.686762222222,0.981657530864
1.25,0.4546808,0.731885777778,1.21862395062
1.3,0.4906272,0.809175111111,1.43721234568
1.35,0.53508,0.895611111111,1.30068987654
1.4,0.5822768,0.946375111111,1.01917580247
1.45,0.6302968,0.984181333333,0.951253333333
1.5,0.6796888,1.03631733333,0.987755308642
1.55,0.73402,1.08784355556,0.947357530864
1.6,0.7886256,1.13525377778,0.821590864198
1.65,0.847896,1.17397466667,0.62984962963
1.7,0.9071664,1.19181066667,0.563959753086
1.75,0.9664368,1.22138488889,0.654494814815
1.8,1.0287256,1.26041066667,0.670924938272
1.85,1.092112,1.30080844444,0.488499753086
1.9,1.1604376,1.31544311111,0.224516790123
1.95,1.2257448,1.29593022222,0.402707407407
2,1.2852896,1.35218222222,0.640859506173
2.05,1.3618472,1.39410444444,0.330635061728
2.1,1.4285264,1.374744,0.180138518519
2.15,1.496852,1.39288488889,0.337071604938
2.2,1.5673728,1.41666622222,0.389241481481
2.25,1.6389912,1.43770355556,0.333599259259
2.3,1.7114328,1.45081377778,0.21994345679
2.35,1.7838744,1.46316177778,-0.0335377777778
2.4,1.8587856,1.457064,-0.649328641975
2.45,1.9301296,1.43846577778,-2.52016074074
2.5,2.0014736,1.29775955556,-5.61961037037
2.55,2.0752872,0.950338666667,-9.08712864198
2.6,2.1422408,-0.113266222222,-4.40843925926
2.65,1.9630576,0.451997777778,1.11191283951
2.7,2.2037064,0.758868444444,-5.73470592593
2.75,2.1296184,-0.394983555556,-8.23471012346
2.8,2.0988856,-0.514042666667,-3.32566024691
2.85,2.0722688,-0.546970666667,-0.56748291358
2.9,2.047024,-0.482639111111,0.721206197531
2.95,2.0239744,-0.441784,0.775103777778
3,2.0028456,-0.404831466667,0.713465407407
3.05,1.9836376,-0.371126,0.615570666667
3.1,1.9671736,-0.346658666667,0.544277481481
