"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.2217152,0.00640266666667,-0.0783225679012
0.1,0.222264,0.00182933333333,-0.0557015061728
0.15,0.2219896,-0.0016464,-0.0147871111111
0.2,0.2217152,0.00121955555556,0.0122971851852
0.25,0.222264,0.00167688888889,0.00901116049383
0.3,0.2219896,0.000609777777778,0.0463939259259
0.35,0.222264,0.00228666666667,0.177428395062
0.4,0.2219896,0.0117382222222,0.435906419753
0.45,0.222264,0.0448186666667,0.708866666667
0.5,0.2258312,0.0910093333333,0.837512839506
0.55,0.231868,0.132321777778,0.900777283951
0.6,0.2392768,0.173024444444,1.08582790123
0.65,0.2477832,0.238423111111,1.29967358025
0.7,0.2626008,0.314188,1.31415580247
0.75,0.2801624,0.374860888889,1.22446765432
0.8,0.3001936,0.432332444444,1.19499506173
0.85,0.3232432,0.491938222222,1.20608962963
0.9,0.3493112,0.553220888889,1.19778987654
0.95,0.3781232,0.618619555556,1.06804271605
1,0.4121488,0.665877333333,0.867662962963
1.05,0.4461744,0.690116,0.949898271605
1.1,0.4793768,0.746368,1.27706098765
1.15,0.5191648,0.830822222222,1.37547234568
1.2,0.5633432,0.902013777778,1.14130074074
1.25,0.6110888,0.942564,0.897982469136
1.3,0.657188,0.983571555556,0.77560345679
1.35,0.7090496,1.02717066667,0.562181234568
1.4,0.7617344,1.03967111111,0.37213382716
1.45,0.8127728,1.05247644444,0.420831358025
1.5,0.8662808,1.07930666667,0.579712345679
1.55,0.9217096,1.09744755556,0.976491358025
1.6,0.972748,1.17351733333,1.4226454321
1.65,1.0383296,1.26437422222,1.47210518519
1.7,1.1022648,1.31376622222,1.5820345679
1.75,1.167572,1.40751955556,1.65182024691
1.8,1.238916,1.53664,0.489600740741
1.85,1.3248032,1.56743377778,-2.40769061728
1.9,1.4170016,1.23175111111,-3.90240839506
1.95,1.4449904,0.952472888889,-1.33922444444
2,1.48862,1.08906311111,1.5604382716
2.05,1.5539272,1.26056311111,1.82306617284
2.1,1.6214296,1.33084,0.743251358025
2.15,1.6914016,1.306144,-0.0575901234568
2.2,1.7514952,1.27626488889,0.0280328395062
2.25,1.8146072,1.318492,0.0780854320988
2.3,1.8870488,1.30279022222,-0.166079753086
2.35,1.945496,1.28403955556,-0.332244197531
2.4,2.0124496,1.29897911111,-1.41764864198
2.45,2.0755616,1.24912977778,-4.43757308642
2.5,2.151296,0.920612,-8.15577777778
2.55,2.1894376,0.227447111111,-7.85910395062
2.6,2.15404,-0.10976,-2.99731185185
2.65,2.1529424,0.0250008888889,0.558370123457
2.7,2.165016,0.0983266666667,1.32906148148
2.75,2.1652904,0.142840444444,1.72567111111
2.8,2.1699552,0.306718222222,1.39215654321
2.85,2.207548,0.309767111111,0.497138271605
2.9,2.2028832,0.266625333333,0.578018518519
2.95,2.2111152,0.523646666667,-1.8764217284
3,2.2887704,0.211592888889,-5.85039432099
3.05,2.2566656,-0.456266222222,-2.97004123457
3.1,2.1921816,-0.277448888889,3.10215975309
3.15,2.2105664,0.230496,2.91392474074
3.2,2.2525496,0.201379111111,-0.499551975309
3.25,2.2352624,-0.0426844444444,-3.09038765432
