"Time (s)","Position (m)","Velocity (m/s)","Acceleration (m/s²)"
0.05,0.2252824,0.00670755555556,-0.0722247901235
0.1,0.2258312,0.00243911111111,-0.0530337283951
0.15,0.2255568,-0.0002744,-0.0231207407407
0.2,0.2255568,0.00106711111111,-0.00743590123457
0.25,0.2258312,0,-0.00885871604938
0.3,0.2255568,-0.000914666666667,0.00718182716049
0.35,0.2255568,0.000914666666667,0.0322674074074
0.4,0.2258312,0.000762222222222,0.112554814815
0.45,0.2255568,0.00533555555556,0.337071604938
0.5,0.2255568,0.0280497777778,0.686084691358
0.55,0.2272032,0.0759173333333,0.994615308642
0.6,0.2326912,0.135218222222,1.14536592593
0.65,0.2406488,0.197263111111,1.15815432099
0.7,0.2529968,0.250771111111,1.16348987654
0.75,0.2656192,0.306718222222,1.27926296296
0.8,0.282632,0.380348888889,1.37072962963
0.85,0.3040352,0.449711111111,1.3540454321
0.9,0.327908,0.514347555556,1.32584320988
0.95,0.3547992,0.586911111111,1.19380938272
1,0.3874528,0.641486222222,0.940920987654
1.05,0.4201064,0.675024,0.821082716049
1.1,0.4549552,0.709019111111,0.982504444444
1.15,0.489804,0.766338222222,1.27739975309
1.2,0.5304152,0.846219111111,1.39503604938
1.25,0.574868,0.919392444444,1.24309975309
1.3,0.6234368,0.972900444444,0.99597037037
1.35,0.67228,1.01695688889,0.762222222222
1.4,0.7252392,1.05461066667,0.468681975309
1.45,0.7798448,1.05583022222,0.343508148148
1.5,0.8297856,1.07351377778,0.502643209877
1.55,0.8860376,1.11132,0.59597308642
1.6,0.9417408,1.13799777778,0.60240962963
1.65,0.9993648,1.17214533333,0.578526666667
1.7,1.0594584,1.19806088889,0.494682222222
1.75,1.1192776,1.21909822222,0.434127901235
1.8,1.1804688,1.25095911111,0.238999012346
1.85,1.247148,1.240288,0.085538271605
1.9,1.3036744,1.238916,0.245520246914
1.95,1.3676096,1.28907022222,0.0428538271605
2,1.4381304,1.25050177778,-0.234256296296
2.05,1.4921872,1.22336666667,0.174802962963
2.1,1.5555736,1.274588,0.460636296296
2.15,1.6211552,1.30294266667,0.182255802469
2.2,1.6881088,1.295168,-0.202412345679
2.25,1.7512208,1.26803288889,-0.373912345679
2.3,1.8135096,1.25934355556,-0.536265679012
2.35,1.8790912,1.21894577778,-0.803805679012
2.4,1.9356176,1.17595644444,-1.24919753086
2.45,1.9946136,1.13708311111,-2.67506123457
2.5,2.0530608,0.991651111111,-5.43616888889
2.55,2.1095872,0.559318666667,-7.27363259259
2.6,2.1117824,0.0818626666667,-5.61325851852
2.65,2.1008064,-0.0839968888889,-2.21247703704
2.7,2.0953184,-0.0652462222222,0.0127883950617
2.75,2.0942208,-0.00625022222222,0.652208148148
2.8,2.0961416,0.0298791111111,0.442088888889
2.85,2.0983368,0.0385684444444,0.0861311111111
2.9,2.100532,0.0320133333333,-0.154731111111
2.95,2.101904,0.0166164444444,-0.236797037037
3,2.1021784,0.00198177777778,-0.174802962963
3.05,2.1016296,-0.00350622222222,-0.05488
3.1,2.1013552,0.000152444444444,0.00398049382715
3.15,2.101904,0.000609777777778,-0.00779160493827
3.2,2.1016296,-0.00228666666667,-0.00287950617284
3.25,2.1013552,-0.000457333333333,0.0127206419753
3.3,2.1016296,0.000762222222222,0.00225279012346
3.35,2.1016296,-0.000914666666666,0.00193096296296
3.4,2.1013552,0.000182933333333,0.0126020740741
3.45,2.1016296,0.001372,0.00785088888889
3.5,2.1016296,0.000914666666666,-0.00010162962963
